ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
100469014,KALIWUNGU,1,5,No
107530405,KALIWUNGU,1,3,No
111876773,KALIWUNGU,1,8,No
130713310,KALIWUNGU,1,2,No
189321171,KALIWUNGU,1,7,Yes
189321198,KALIWUNGU,1,6,No
189321218,KALIWUNGU,1,7,No
189321231,KALIWUNGU,1,3,Yes
189321357,KALIWUNGU,1,5,Yes
189321388,KALIWUNGU,1,4,No
189321404,KALIWUNGU,1,5,No
189321408,KALIWUNGU,1,1,Yes
189321410,KALIWUNGU,1,8,No
189321493,KALIWUNGU,1,8,No
189321549,KALIWUNGU,1,9,No
189321552,KALIWUNGU,1,6,Yes
189321591,KALIWUNGU,1,7,No
189321624,KALIWUNGU,1,5,No
189321626,KALIWUNGU,1,6,No
189321627,KALIWUNGU,1,10,No
189321630,KALIWUNGU,1,1,No
189321632,KALIWUNGU,1,6,No
189321634,KALIWUNGU,1,3,No
189321636,KALIWUNGU,1,4,Yes
189321681,KALIWUNGU,1,6,No
189321748,KALIWUNGU,1,5,Yes
189321762,KALIWUNGU,1,4,No
189321792,KALIWUNGU,1,8,No
189321793,KALIWUNGU,1,4,Yes
189321794,KALIWUNGU,1,3,No
189321805,KALIWUNGU,1,9,No
189321836,KALIWUNGU,1,6,No
189321840,KALIWUNGU,1,9,No
189321841,KALIWUNGU,1,3,No
189321842,KALIWUNGU,1,6,No
189321843,KALIWUNGU,1,3,No
189321845,KALIWUNGU,1,5,No
189321847,KALIWUNGU,1,5,No
189321848,KALIWUNGU,1,3,No
189321851,KALIWUNGU,1,5,No
189321852,KALIWUNGU,1,3,No
189321854,KALIWUNGU,1,4,No
189321855,KALIWUNGU,1,4,Yes
189321856,KALIWUNGU,1,4,No
189321858,KALIWUNGU,1,6,No
189321859,KALIWUNGU,1,7,No
189321861,KALIWUNGU,1,7,Yes
189321862,KALIWUNGU,1,4,No
189321864,KALIWUNGU,1,3,No
189321869,KALIWUNGU,1,1,No
189321871,KALIWUNGU,1,8,No
189321877,KALIWUNGU,1,3,Yes
189321880,KALIWUNGU,1,5,No
189321884,KALIWUNGU,1,4,No
189321885,KALIWUNGU,1,1,No
189321889,KALIWUNGU,1,4,No
189321895,KALIWUNGU,1,6,No
189321896,KALIWUNGU,1,8,No
189321901,KALIWUNGU,1,8,No
189321905,KALIWUNGU,1,10,No
189321907,KALIWUNGU,1,2,No
189321908,KALIWUNGU,1,1,No
189321911,KALIWUNGU,1,4,No
189321918,KALIWUNGU,1,4,No
189321924,KALIWUNGU,1,8,No
189321927,KALIWUNGU,1,4,No
189321929,KALIWUNGU,1,6,Yes
189321932,KALIWUNGU,1,9,No
189321933,KALIWUNGU,1,8,No
189321936,KALIWUNGU,1,10,No
189321940,KALIWUNGU,1,5,No
189321948,KALIWUNGU,1,5,No
189321950,KALIWUNGU,1,1,No
189321952,KALIWUNGU,1,3,No
189321954,KALIWUNGU,1,4,No
189321955,KALIWUNGU,1,5,No
189321956,KALIWUNGU,1,9,No
189321957,KALIWUNGU,1,3,No
189321958,KALIWUNGU,1,6,No
189321961,KALIWUNGU,1,9,Yes
189321990,KALIWUNGU,1,5,No
189322037,KALIWUNGU,1,3,No
189322057,KALIWUNGU,1,4,No
189322096,KALIWUNGU,1,9,No
189322129,KALIWUNGU,1,8,No
189322130,KALIWUNGU,1,1,No
189322189,KALIWUNGU,1,5,Yes
189322192,KALIWUNGU,1,7,No
189322222,KALIWUNGU,1,6,No
189322223,KALIWUNGU,1,2,No
189322226,KALIWUNGU,1,3,No
189322228,KALIWUNGU,1,5,No
189322233,KALIWUNGU,1,5,No
189322237,KALIWUNGU,1,8,No
189322240,KALIWUNGU,1,4,No
189322242,KALIWUNGU,1,6,No
189322243,KALIWUNGU,1,2,Yes
189322247,KALIWUNGU,1,7,No
189322248,KALIWUNGU,1,6,No
189322249,KALIWUNGU,1,3,No
189322250,KALIWUNGU,1,7,No
189322253,KALIWUNGU,1,6,No
189322254,KALIWUNGU,1,4,No
189322255,KALIWUNGU,1,7,No
189322256,KALIWUNGU,1,3,No
189322257,KALIWUNGU,1,6,No
189322260,KALIWUNGU,1,1,Yes
189322261,KALIWUNGU,1,2,No
189322262,KALIWUNGU,1,8,No
189322264,KALIWUNGU,1,4,No
189322266,KALIWUNGU,1,3,Yes
189322268,KALIWUNGU,1,5,No
189322270,KALIWUNGU,1,3,No
189322272,KALIWUNGU,1,6,No
189322278,KALIWUNGU,1,7,No
189322279,KALIWUNGU,1,5,No
189322281,KALIWUNGU,1,6,No
189322283,KALIWUNGU,1,7,No
189322284,KALIWUNGU,1,4,No
189322288,KALIWUNGU,1,6,No
189322290,KALIWUNGU,1,9,No
189322294,KALIWUNGU,1,1,No
189322297,KALIWUNGU,1,8,No
189322300,KALIWUNGU,1,8,Yes
189322302,KALIWUNGU,1,8,No
189322304,KALIWUNGU,1,2,No
189322308,KALIWUNGU,1,4,No
189322320,KALIWUNGU,1,7,No
189322322,KALIWUNGU,1,7,No
189322329,KALIWUNGU,1,5,No
189322339,KALIWUNGU,1,4,No
189322343,KALIWUNGU,1,8,No
189322422,KALIWUNGU,1,9,No
189322433,KALIWUNGU,1,1,Yes
